"","Year","Region","RegionNum","WarCount","WarCountP","WarCountA"
"313","1936","East Asia","2",0,0,0
"314","1937","East Asia","2",1,0,1
"315","1938","East Asia","2",1,0,1
"316","1939","East Asia","2",2,0,2
"317","1940","East Asia","2",1,0,1
"318","1941","East Asia","2",0,0,0
"319","1942","East Asia","2",0,0,0
"320","1943","East Asia","2",0,0,0
"321","1944","East Asia","2",0,0,0
"322","1945","East Asia","2",0,0,0
"323","1946","East Asia","2",0,0,0
"324","1947","East Asia","2",0,0,0
"325","1948","East Asia","2",0,0,0
"326","1949","East Asia","2",0,0,0
"327","1950","East Asia","2",1,0,1
"328","1951","East Asia","2",0,0,0
"329","1952","East Asia","2",0,0,0
"330","1953","East Asia","2",0,0,0
"331","1954","East Asia","2",1,0,1
"332","1955","East Asia","2",0,0,0
"333","1956","East Asia","2",0,0,0
"334","1957","East Asia","2",0,0,0
"335","1958","East Asia","2",1,0,1
"336","1959","East Asia","2",0,0,0
"337","1960","East Asia","2",0,0,0
"338","1961","East Asia","2",0,0,0
"339","1962","East Asia","2",1,0,1
"340","1963","East Asia","2",0,0,0
"341","1964","East Asia","2",0,0,0
"342","1965","East Asia","2",1,0,1
"343","1966","East Asia","2",0,0,0
"344","1967","East Asia","2",0,0,0
"345","1968","East Asia","2",1,0,1
"346","1969","East Asia","2",0,0,0
"347","1970","East Asia","2",1,0,1
"348","1971","East Asia","2",0,0,0
"349","1972","East Asia","2",0,0,0
"350","1973","East Asia","2",0,0,0
"351","1974","East Asia","2",0,0,0
"352","1975","East Asia","2",0,0,0
"353","1976","East Asia","2",0,0,0
"354","1977","East Asia","2",1,1,0
"355","1978","East Asia","2",0,0,0
"356","1979","East Asia","2",1,0,1
"357","1980","East Asia","2",0,0,0
"358","1981","East Asia","2",0,0,0
"359","1982","East Asia","2",0,0,0
"360","1983","East Asia","2",0,0,0
"361","1984","East Asia","2",0,0,0
"362","1985","East Asia","2",0,0,0
"363","1986","East Asia","2",0,0,0
"364","1987","East Asia","2",1,0,1
"365","1988","East Asia","2",0,0,0
"366","1989","East Asia","2",0,0,0
"367","1990","East Asia","2",0,0,0
"368","1991","East Asia","2",0,0,0
"369","1992","East Asia","2",0,0,0
"370","1993","East Asia","2",0,0,0
"371","1994","East Asia","2",0,0,0
"372","1995","East Asia","2",0,0,0
"373","1996","East Asia","2",0,0,0
"374","1997","East Asia","2",0,0,0
"375","1998","East Asia","2",0,0,0
"376","1999","East Asia","2",0,0,0
"377","2000","East Asia","2",0,0,0
"378","2001","East Asia","2",0,0,0
"379","2002","East Asia","2",0,0,0
"380","2003","East Asia","2",0,0,0
"381","2004","East Asia","2",0,0,0
"382","2005","East Asia","2",0,0,0
"383","2006","East Asia","2",0,0,0
"384","2007","East Asia","2",0,0,0
"385","1816","South Asia","3",0,0,0
"386","1817","South Asia","3",0,0,0
"387","1818","South Asia","3",0,0,0
"388","1819","South Asia","3",0,0,0
"389","1820","South Asia","3",0,0,0
"390","1821","South Asia","3",0,0,0
"391","1822","South Asia","3",0,0,0
"392","1823","South Asia","3",0,0,0
"393","1824","South Asia","3",0,0,0
"394","1825","South Asia","3",0,0,0
"395","1826","South Asia","3",0,0,0
"396","1827","South Asia","3",0,0,0
"397","1828","South Asia","3",0,0,0
"398","1829","South Asia","3",0,0,0
"399","1830","South Asia","3",0,0,0
"400","1831","South Asia","3",0,0,0
"401","1832","South Asia","3",0,0,0
"402","1833","South Asia","3",0,0,0
"403","1834","South Asia","3",0,0,0
"404","1835","South Asia","3",0,0,0
"405","1836","South Asia","3",0,0,0
"406","1837","South Asia","3",0,0,0
"407","1838","South Asia","3",0,0,0
"408","1839","South Asia","3",0,0,0
"409","1840","South Asia","3",0,0,0
"410","1841","South Asia","3",0,0,0
"411","1842","South Asia","3",0,0,0
"412","1843","South Asia","3",0,0,0
"413","1844","South Asia","3",0,0,0
"414","1845","South Asia","3",0,0,0
"415","1846","South Asia","3",0,0,0
"416","1847","South Asia","3",0,0,0
"417","1848","South Asia","3",0,0,0
"418","1849","South Asia","3",0,0,0
"419","1850","South Asia","3",0,0,0
"420","1851","South Asia","3",0,0,0
"421","1852","South Asia","3",0,0,0
"422","1853","South Asia","3",0,0,0
"423","1854","South Asia","3",0,0,0
"424","1855","South Asia","3",0,0,0
"425","1856","South Asia","3",0,0,0
"426","1857","South Asia","3",0,0,0
"427","1858","South Asia","3",0,0,0
"428","1859","South Asia","3",0,0,0
"429","1860","South Asia","3",0,0,0
"430","1861","South Asia","3",0,0,0
"431","1862","South Asia","3",0,0,0
"432","1863","South Asia","3",0,0,0
"433","1864","South Asia","3",0,0,0
"434","1865","South Asia","3",0,0,0
"435","1866","South Asia","3",0,0,0
"436","1867","South Asia","3",0,0,0
"437","1868","South Asia","3",0,0,0
"438","1869","South Asia","3",0,0,0
"439","1870","South Asia","3",0,0,0
"440","1871","South Asia","3",0,0,0
"441","1872","South Asia","3",0,0,0
"442","1873","South Asia","3",0,0,0
"443","1874","South Asia","3",0,0,0
"444","1875","South Asia","3",0,0,0
"445","1876","South Asia","3",0,0,0
"446","1877","South Asia","3",0,0,0
"447","1878","South Asia","3",0,0,0
"448","1879","South Asia","3",0,0,0
"449","1880","South Asia","3",0,0,0
"450","1881","South Asia","3",0,0,0
"451","1882","South Asia","3",0,0,0
"452","1883","South Asia","3",0,0,0
"453","1884","South Asia","3",0,0,0
"454","1885","South Asia","3",0,0,0
"455","1886","South Asia","3",0,0,0
"456","1887","South Asia","3",0,0,0
"457","1888","South Asia","3",0,0,0
"458","1889","South Asia","3",0,0,0
"459","1890","South Asia","3",0,0,0
"460","1891","South Asia","3",0,0,0
