"","Year","Region","RegionNum","WarCount","WarCountP","WarCountA"
"1504","1975","Africa","8",1,0,1
"1505","1976","Africa","8",0,0,0
"1506","1977","Africa","8",1,0,1
"1507","1978","Africa","8",1,0,1
"1508","1979","Africa","8",0,0,0
"1509","1980","Africa","8",0,0,0
"1510","1981","Africa","8",0,0,0
"1511","1982","Africa","8",0,0,0
"1512","1983","Africa","8",0,0,0
"1513","1984","Africa","8",0,0,0
"1514","1985","Africa","8",0,0,0
"1515","1986","Africa","8",0,0,0
"1516","1987","Africa","8",0,0,0
"1517","1988","Africa","8",0,0,0
"1518","1989","Africa","8",0,0,0
"1519","1990","Africa","8",0,0,0
"1520","1991","Africa","8",0,0,0
"1521","1992","Africa","8",0,0,0
"1522","1993","Africa","8",0,0,0
"1523","1994","Africa","8",0,0,0
"1524","1995","Africa","8",0,0,0
"1525","1996","Africa","8",0,0,0
"1526","1997","Africa","8",0,0,0
"1527","1998","Africa","8",1,0,1
"1528","1999","Africa","8",0,0,0
"1529","2000","Africa","8",0,0,0
"1530","2001","Africa","8",0,0,0
"1531","2002","Africa","8",0,0,0
"1532","2003","Africa","8",0,0,0
"1533","2004","Africa","8",0,0,0
"1534","2005","Africa","8",0,0,0
"1535","2006","Africa","8",0,0,0
"1536","2007","Africa","8",0,0,0
